scene_id,scene_class,snapshot_id,lambda_min,lambda_mid,lambda_max,weak_direction_x,weak_direction_y,weak_direction_z,strong_direction_x,strong_direction_y,strong_direction_z,weak_translation_norm_before_normalization,strong_translation_norm_before_normalization,deterministic_sign_rule,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,SPATIAL_AXIS_INTERPRETATION
W_TEST_01,Weak,W_TEST_01_Q01,0.08578788512096867,0.22004912527587553,0.6941629896031555,0.9999001678023371,0.0017450294881826284,-0.014021743862426059,-0.0021562425808952196,0.9995664172670695,-0.02936542337183568,1.0,0.9999999999999999,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q02,0.08631219500455578,0.22149326106409256,0.6921945439313519,0.9997502067423484,0.0036546382054953694,-0.022049211736896838,-0.0043980916596713816,0.9994201496982166,-0.03376419948625519,0.9999999999999999,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q03,0.08834991805176642,0.22035219328538405,0.6912978886628499,0.9997899788336795,0.003058795239104854,-0.020264303477691935,-0.0037574375549731965,0.9993966455402169,-0.03452863371149261,0.9999999999999999,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q04,0.0863924414892572,0.2169752908926948,0.6966322676180486,0.9997844066238104,0.0030102268532263003,-0.020544556606740226,-0.0036180045511670206,0.9995549611665091,-0.02961063407774811,0.9999999999999999,1.0,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q05,0.08503570829329488,0.22252013546668611,0.6924441562400183,0.999865580199167,0.004762838216256224,-0.015688750909767124,-0.005286322944109619,0.9994248645529491,-0.03349619236644808,1.0000000000000002,0.9999999999999998,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q06,0.08470199550491488,0.21854911727292758,0.6967488872221578,0.9999212363461232,0.002509246296796089,-0.012297348781852811,-0.002887334392087367,0.9995206320699198,-0.030824817382372416,1.0,1.0,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q07,0.08327709395100334,0.22624223969122748,0.6904806663577698,0.9998660890291479,0.004568058385287797,-0.015714224516175265,-0.005093991720064798,0.9994226124239631,-0.03359305023389181,0.9999999999999998,1.0,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q08,0.08606135898994265,0.22525667708415073,0.6886819639259074,0.9998677818072259,0.0026542202613968023,-0.016042880623563138,-0.003263298528170342,0.9992701463838257,-0.038059498535367046,1.0,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q09,0.08750105904643514,0.2159687560895423,0.6965301848640224,0.9998554762493573,0.0029135216350994805,-0.01674926881546829,-0.0034260066565048727,0.9995242870876309,-0.0306506443709259,1.0,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
W_TEST_01,Weak,W_TEST_01_Q10,0.08676344683483957,0.21965229280042253,0.6935842603647379,0.9999239515623511,0.003010028678280233,-0.011959549292872716,-0.0033909165118516764,0.9994835104636617,-0.03195643904513145,1.0000000000000002,1.0000000000000002,largest_absolute_component_nonnegative,true,true,false,false,UNRESOLVED
