scene_id,station_id,role,raw_filename,raw_absolute_path,canonical_filename,capture_prefix,sha256,bytes,mtime,mtime_utc,canonical_materialization,capture_timestamp,duration_s,start_timestamp,end_timestamp,lidar_count,imu_count,lidar_rate_hz,imu_rate_hz,frame_ids,pointcloud2_fields,motion_status,bag_acquisition_pass
FMB1_W02,S01,MAP,mid360_20260819_213446_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_213446_part1_20s.bag,FMB1_W02_S01_MAP_20260819_213446.bag,20260819_213446,2e679af241d0a798ee567009c573d96d0c3ed3509f22fe05b5ef89a573a1f945,66704614,1787146507.0,2026-08-19T13:35:07+00:00,MANIFEST_ONLY_NO_COPY,20260819_213446,19.809064388275146,1787146487.6315496,1787146507.440614,198,3963,9.999880888948939,200.00944629899237,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W02,S01,QUERY,mid360_20260819_213446_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_213446_part2_15s.bag,FMB1_W02_S01_QUERY_20260819_213446.bag,20260819_213446,4006d97ee438e2426fb81c1b75f66fb36fd9ce3a7e8efb2362d036906f4d81c7,49512752,1787146533.0,2026-08-19T13:35:33+00:00,MANIFEST_ONLY_NO_COPY,20260819_213446,14.736563444137573,1787146518.695483,1787146533.4320464,147,2948,10.000620318703758,199.9787814283364,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W02,S02,MAP,mid360_20260819_213744_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_213744_part1_20s.bag,FMB1_W02_S02_MAP_20260819_213744.bag,20260819_213744,e363e46c23106395cf668cb0bdc5a1cbe00f93c70a2d4cacb01a5f32378fc610,66587084,1787146685.0,2026-08-19T13:38:05+00:00,MANIFEST_ONLY_NO_COPY,20260819_213744,19.72911524772644,1787146665.5332608,1787146685.262376,197,3947,10.00152372685944,200.0089690010165,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W02,S02,QUERY,mid360_20260819_213744_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_213744_part2_15s.bag,FMB1_W02_S02_QUERY_20260819_213744.bag,20260819_213744,58ef557c7dabafde6c34508647ed1018681f68c3efd16464e9a1694ad9b093dd,50033560,1787146711.0,2026-08-19T13:38:31+00:00,MANIFEST_ONLY_NO_COPY,20260819_213744,14.72146487236023,1787146696.5051084,1787146711.2265732,148,2945,10.001627641980082,200.01013291423962,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W02,S03,MAP,mid360_20260819_214044_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_214044_part1_20s.bag,FMB1_W02_S03_MAP_20260819_214044.bag,20260819_214044,011d7a5367370c70d9c37c6251d531b12b48f89ac6ecdca5f3ec06f8efc664b0,66363027,1787146865.0,2026-08-19T13:41:05+00:00,MANIFEST_ONLY_NO_COPY,20260819_214044,19.735047101974487,1787146845.5375183,1787146865.2725654,197,3948,10.001009536976007,199.999522656579,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W02,S03,QUERY,mid360_20260819_214044_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_214044_part2_15s.bag,FMB1_W02_S03_QUERY_20260819_214044.bag,20260819_214044,d0d3ca6245824577a9fd9236c3a21b224d13c2d44c94814ba5c8db87b5ed948f,49877384,1787146891.0,2026-08-19T13:41:31+00:00,MANIFEST_ONLY_NO_COPY,20260819_214044,14.804047107696533,1787146876.4125433,1787146891.2165904,148,2962,10.00022265871635,200.01287340274635,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W03,S01,MAP,mid360_20260819_214807_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_214807_part1_20s.bag,FMB1_W03_S01_MAP_20260819_214807.bag,20260819_214807,4be1bf6c6261ad0dad77ee69f2a4dc8136cf0717bd5a72ea087a0c2bb61bba02,61165252,1787147308.0,2026-08-19T13:48:28+00:00,MANIFEST_ONLY_NO_COPY,20260819_214807,19.728219509124756,1787147288.348544,1787147308.0767634,197,3947,10.000150887177433,200.01805019327182,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W03,S01,QUERY,mid360_20260819_214807_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_214807_part2_15s.bag,FMB1_W03_S01_QUERY_20260819_214807.bag,20260819_214807,0af276ea57bcfd33e043a04731e9b5446250f2d9ea3dd4ce5652454a0b9d7767,45948128,1787147334.0,2026-08-19T13:48:54+00:00,MANIFEST_ONLY_NO_COPY,20260819_214807,14.739380836486816,1787147319.5084877,1787147334.2478685,148,2949,10.000273264352899,200.0084014860604,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W03,S02,MAP,mid360_20260819_214952_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_214952_part1_20s.bag,FMB1_W03_S02_MAP_20260819_214952.bag,20260819_214952,0b962474901bffa51ea28fbb2d17b3c0394b7c0db9c62eee6e19a0a35b63495f,62253951,1787147412.0,2026-08-19T13:50:12+00:00,MANIFEST_ONLY_NO_COPY,20260819_214952,19.775668144226074,1787147392.891269,1787147412.666937,198,3956,10.002626658608019,199.9932427645812,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W03,S02,QUERY,mid360_20260819_214952_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_214952_part2_15s.bag,FMB1_W03_S02_QUERY_20260819_214952.bag,20260819_214952,f8df11e302ad279e32e2a0b20e296e6c156486fc9aff4adc0dc4d7a8b2a185f6,46228553,1787147438.0,2026-08-19T13:50:38+00:00,MANIFEST_ONLY_NO_COPY,20260819_214952,14.746143102645874,1787147423.9616957,1787147438.7078388,147,2950,10.00062423840106,199.9844962491152,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W03,S03,MAP,mid360_20260819_215146_part1_20s.bag,/home/lj/ZPRM/bags/mid360_20260819_215146_part1_20s.bag,FMB1_W03_S03_MAP_20260819_215146.bag,20260819_215146,83881f5aade036c2813d67a269112a9016041dcbe34dc76fa18b0dfbe4b128d7,61463177,1787147527.0,2026-08-19T13:52:07+00:00,MANIFEST_ONLY_NO_COPY,20260819_215146,19.764055490493774,1787147507.497694,1787147527.2617495,198,3954,10.000720729583417,200.00955785118776,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
FMB1_W03,S03,QUERY,mid360_20260819_215146_part2_15s.bag,/home/lj/ZPRM/bags/mid360_20260819_215146_part2_15s.bag,FMB1_W03_S03_QUERY_20260819_215146.bag,20260819_215146,9141c6b3a8a43134cf298d4a22a8a7878d0a323cb860f7157599869617ec84f7,45959090,1787147553.0,2026-08-19T13:52:33+00:00,MANIFEST_ONLY_NO_COPY,20260819_215146,14.750714302062988,1787147538.5562744,1787147553.3069887,148,2951,10.000917071143572,199.99031501731562,livox_frame,intensity;line;tag;timestamp;x;y;z,NO_OBVIOUS_MOTION,True
