snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,condition,source_point_count,target_point_count,source_raw_checksum,target_raw_checksum,reference_pose_raw_checksum,parent_index_raw_checksum,snapshot_checksum,parent_index_unique_count,parent_index_out_of_range_count,parent_index_duplicate_count,lineage_violation_count,source_inverse_transform_pass,source_all_finite,target_all_finite,reference_pose_all_finite,reference_rotation_determinant,reference_rotation_orthogonality_defect_fro,reference_rotation_quality_pass,reconstruction_error_median_m,reconstruction_error_q95_m,reconstruction_error_max_m,predicted_quantization_median_m,predicted_quantization_q95_m,predicted_quantization_max_m,closure_residual_max_m,float64_guard_max_m,max_normalized_closure_ratio,closure_residual_violation_count,actual_error_bound_violation_count,quantization_closure_pass,raw_checksum_pass,file_checksum_pass,metadata_checksum_pass,snapshot_checksum_pass,metadata_statistics_match
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/0,GEOMETRY_RICH_ROOM,1334931069,217775206,0,IDEAL_MATCHED,33155,44214,f8c49e65baab4a2685baa60bdf1b0f9fa2d3bb351c229fccd4074bda5757cc48,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,6a75df5f92a30481a3283583ce3afa35d6b7604c87990352a655187d6fa57e92,ecd1a64145914a64904af49b3dbf7cb865aaaa7140a0ea7293da317574e204c8,33155,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/1,GEOMETRY_RICH_ROOM,1334931069,217775206,1,IDEAL_MATCHED,33157,44214,a0824a3b2b4a0a7c9b679278962eef6b375db0eef1339ef8f8303115cd3cac2c,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,1a90f724d1be361b1bd001b90f51d41092445c6bf0e2abc114458e0d06fc8f66,42cf6af15424074a0e3c49c1be4bd67c8f1d352c704d67e63213af66d6326f0b,33157,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/2,GEOMETRY_RICH_ROOM,1334931069,217775206,2,IDEAL_MATCHED,33178,44214,e6555cf0fd48008adf3eaec39d438d9c3f5b9d6c4aa33a0e4ec5efcd092470c1,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,d50bdf437715b5c821be03bdc90700c11a6c00fc20c81c04aba768bdfeff357c,ce0e2d659e61a7abcb42950407eb39ab911735e3b7b3249b94bc7be03540a16d,33178,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/3,GEOMETRY_RICH_ROOM,1334931069,217775206,3,IDEAL_MATCHED,33251,44214,a913afaee647f936c8057c00ef130219f8b33465422fa1bb84bcce6131c0898f,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,33dac601dc282b60bb0bc6a1baceef01dcbd7ff220f61d024a869ed8790c0d27,54f403642514a9ffc3d570e9be0c6df04d0c9e02bd8d785d649a2a9757a727f9,33251,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.95747293578771e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/0/4,GEOMETRY_RICH_ROOM,1334931069,217775206,4,IDEAL_MATCHED,33107,44214,047513a1cabaaa7463525360316c7e613b242f58c57253aca69fee1f9adcdb4b,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,9d63892868528943b23eaca02c7c34d11e1dab6f303fa08a483e69e323489822,c28c6aa34a5cdbc1abdbb9028854c610a31268b0be9bdf2a464fbe2cebd0c1c1,33107,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/0,GEOMETRY_RICH_ROOM,1334931069,1664898153,0,IDEAL_MATCHED,33170,44214,b3ee5f3f2b9c88162f20da33dd49565f419a577cc172133de2594d929cb130a7,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,de64b3106470a348a666a6857b95bc779e593f5beb59ace045ba72518176f345,d2716c0b052689ba7c81693b09414fdf055716df3e599cf38014a17e583b8efe,33170,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/1,GEOMETRY_RICH_ROOM,1334931069,1664898153,1,IDEAL_MATCHED,33264,44214,f2fb41594d61c967bef5df297ad63259325ab7302d4756cb98a276709b222821,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,e033d3525312b9aaee9034e79508aefad25e6a8cd1f575401f8c9575bf03f70d,a4fa378b4dda057cd7fa40377d00e1477801d5a0232de7d9d4331bfad5dc250c,33264,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.95747293578771e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/2,GEOMETRY_RICH_ROOM,1334931069,1664898153,2,IDEAL_MATCHED,33051,44214,b3b7402ae28c4c12b93e2c1fd73e2ac629793a138a91e95dfdaba3c4a333dd4e,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,6dc51562ebec5270c5ec6a05a0f31fc9e51823e3f3ee5b15d839083e34009e77,01590e3bba1ef22bf77fe054c58741177f3a6f2804a132083ecd655d119c6e2c,33051,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/3,GEOMETRY_RICH_ROOM,1334931069,1664898153,3,IDEAL_MATCHED,33090,44214,32a11c817a554eb38b9a4f82e162c15177e2dee3207935862f4cde1e1cb9e454,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,e70098c89f4a3c4739c97da61ed5658597601cf4e8284406425438588cec51ec,99fd44247bbda01f000324b705f3191433fecef8b55914d77869b3e172c64b62,33090,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.972895461738626e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/GEOMETRY_RICH_ROOM/2/1/4,GEOMETRY_RICH_ROOM,1334931069,1664898153,4,IDEAL_MATCHED,33084,44214,8761dd47239349f28e299b89868f1f9a61227fb5be7947a38f98fd2b67652c47,394b9a5829d8e78542ba9876fa150321628ef5cf0888f3bab5ae4b8a9f8e7dfd,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,6e65414c3f3be709e99096da72eeb3cb55a5320025133a07aa3ee768c705cd65,2947bad8d93c355648f00b3df1b8cbe8f91a7d5e59a1211003f7c8edc3707c9e,33084,0,0,0,True,True,True,True,1.0,0.0,True,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,7.450580596923828e-09,5.960464477539063e-08,0.0,4.959379314609733e-13,0.0,0,0,True,True,True,True,True,True
phase-a-v1/LONG_CORRIDOR/0/0/0,LONG_CORRIDOR,1850310744,217775206,0,IDEAL_MATCHED,35676,47818,d7fca14d35be5cb27dfedfb269e294d88df168d4c50a675433151d323bc51e74,36d1d7f8a62ac7c24d685971c333bcabcf517c23ea69a9d405c0ebcae7e3d6a9,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,f2a29957558f976cb2fc8ad22826d0f9e83c3aa619a7654060fbc0d030cf8f72,8224e3c554ec3edbbc93645a2ebf44fb3c4bd89ec6716b33c09ebb7c8b716f73,35676,0,0,0,True,True,True,True,1.0,0.0,True,0.0,2.9802322387695312e-08,5.960464477539063e-08,0.0,2.9802322387695312e-08,5.960464477539063e-08,0.0,1.1458282759235956e-12,0.0,0,0,True,True,True,True,True,True
