backend,centered_correspondence_turnover,centered_translation_norm_m,scene_id,scene_row_index
OPEN3D_POINT_TO_PLANE,0.032248251881988155,0.00025544615473691945,FMB1_R03,27
OPEN3D_POINT_TO_PLANE,0.030302925164615024,0.0004506977500177116,FMB1_R03,28
OPEN3D_POINT_TO_PLANE,0.018044840553323838,0.00013911179005112254,FMB1_R03,29
OPEN3D_POINT_TO_PLANE,0.021436075037674363,0.0003914489162906422,FMB1_R03,30
OPEN3D_POINT_TO_PLANE,0.007383221962125985,0.00021927961701739395,FMB1_W01,1
OPEN3D_POINT_TO_PLANE,-0.004395775008539438,-0.00016147573674148418,FMB1_W01,2
OPEN3D_POINT_TO_PLANE,0.018335696098584597,0.0003233656218763351,FMB1_W01,3
OPEN3D_POINT_TO_PLANE,0.005920922322982636,0.0003359826993120489,FMB1_W01,4
OPEN3D_POINT_TO_PLANE,0.024292276709933336,0.0002535250237212976,FMB1_W01,5
OPEN3D_POINT_TO_PLANE,0.011014882896887956,-4.6443097624228975e-06,FMB1_W01,6
OPEN3D_POINT_TO_PLANE,-0.0023092669435053614,2.37290246691014e-05,FMB1_W01,7
OPEN3D_POINT_TO_PLANE,-0.011373173750239995,-3.450664132246249e-05,FMB1_W01,8
OPEN3D_POINT_TO_PLANE,-0.016893328008002195,-0.00016804371979928408,FMB1_W01,9
OPEN3D_POINT_TO_PLANE,-0.004774685124388778,-0.00035527725524920185,FMB1_W01,10
OPEN3D_POINT_TO_PLANE,0.02169228316059907,0.0003817283199308351,FMB1_W01,11
OPEN3D_POINT_TO_PLANE,-0.013604503528660772,-0.000145632145411508,FMB1_W01,12
OPEN3D_POINT_TO_PLANE,-0.007317774866446747,-2.678219070526445e-05,FMB1_W01,13
OPEN3D_POINT_TO_PLANE,-0.008023545005376886,5.103375532412467e-05,FMB1_W01,14
OPEN3D_POINT_TO_PLANE,0.0009434657770385768,-0.00024376242292070574,FMB1_W01,15
OPEN3D_POINT_TO_PLANE,0.00445234908683706,0.00012143080111653569,FMB1_W01,16
OPEN3D_POINT_TO_PLANE,0.005901605019803469,0.0002931722859736536,FMB1_W01,17
OPEN3D_POINT_TO_PLANE,-0.016175873381691186,-9.094623820291259e-05,FMB1_W01,18
OPEN3D_POINT_TO_PLANE,-0.021125453825886653,-0.000334152145137835,FMB1_W01,19
OPEN3D_POINT_TO_PLANE,-0.0014965239817213427,-5.172738154213979e-06,FMB1_W01,20
OPEN3D_POINT_TO_PLANE,0.002699455758547298,2.917341440732829e-05,FMB1_W01,21
OPEN3D_POINT_TO_PLANE,0.004149153498904934,0.00026143074677616206,FMB1_W01,22
OPEN3D_POINT_TO_PLANE,5.083211944861832e-05,0.00019974371650350524,FMB1_W01,23
OPEN3D_POINT_TO_PLANE,-0.021469735553954095,-0.00013601816595042111,FMB1_W01,24
OPEN3D_POINT_TO_PLANE,-0.010350521626675657,-0.00013062409260954745,FMB1_W01,25
