scene_id,scene_class,snapshot_id,backend,perturbation_magnitude_m,perturbation_sign,weak_run_id,strong_run_id,weak_final_translation_error_m,strong_final_translation_error_m,weak_minus_strong_final_translation_error_m,weak_strong_error_ratio,weak_pose_recovered,strong_pose_recovered,PILOT_ONLY,PILOT_NONFORMAL_DO_NOT_CITE,FORMAL_MEASUREMENT_RESULT,MEASUREMENT_EVIDENCE,NO_OBVIOUS_MOTION,ACCELERATION_UNIT_UNKNOWN,POINT_COORDINATE_UNIT_STATUS
R_TEST_01,Rich,R_TEST_01_Q06,open3d,0.05,1,CP-R_TEST_01_Q06-W-50MM-POS-O3D,CP-R_TEST_01_Q06-S-50MM-POS-O3D,0.00025557654424023635,0.00025292431244943353,2.6522317908028205e-06,1.0104862666823817,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,pcl,0.01,-1,CP-R_TEST_01_Q06-W-10MM-NEG-PCL,CP-R_TEST_01_Q06-S-10MM-NEG-PCL,0.0003248361266097379,0.00032295392346792123,1.8822031418166615e-06,1.0058280856959572,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,pcl,0.01,1,CP-R_TEST_01_Q06-W-10MM-POS-PCL,CP-R_TEST_01_Q06-S-10MM-POS-PCL,0.00032191507218461385,0.00032348155172025735,-1.5664795356434987e-06,0.9951574377972622,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,pcl,0.03,-1,CP-R_TEST_01_Q06-W-30MM-NEG-PCL,CP-R_TEST_01_Q06-S-30MM-NEG-PCL,0.0003098778296140913,0.00032315805329133265,-1.3280223677241342e-05,0.958904865461394,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,pcl,0.03,1,CP-R_TEST_01_Q06-W-30MM-POS-PCL,CP-R_TEST_01_Q06-S-30MM-POS-PCL,0.00032369123403970133,0.0003227991661682406,8.920678714607346e-07,1.0027635383388687,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,pcl,0.05,-1,CP-R_TEST_01_Q06-W-50MM-NEG-PCL,CP-R_TEST_01_Q06-S-50MM-NEG-PCL,0.000324775036451226,0.000308098063721022,1.667697273020403e-05,1.054128781365224,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q06,pcl,0.05,1,CP-R_TEST_01_Q06-W-50MM-POS-PCL,CP-R_TEST_01_Q06-S-50MM-POS-PCL,0.0003239622562932174,0.00032054493623079,3.4173200624273785e-06,1.0106609703544558,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q07,open3d,0.01,-1,CP-R_TEST_01_Q07-W-10MM-NEG-O3D,CP-R_TEST_01_Q07-S-10MM-NEG-O3D,0.000492130685591399,0.0004921306882039333,-2.612534320822757e-12,0.999999994691381,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q07,open3d,0.01,1,CP-R_TEST_01_Q07-W-10MM-POS-O3D,CP-R_TEST_01_Q07-S-10MM-POS-O3D,0.0004921306865952093,0.0004921306856383283,9.568810587640142e-13,1.0000000019443638,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
R_TEST_01,Rich,R_TEST_01_Q07,open3d,0.03,-1,CP-R_TEST_01_Q07-W-30MM-NEG-O3D,CP-R_TEST_01_Q07-S-30MM-NEG-O3D,0.0004921306856154662,0.0004921306865879293,-9.724631039667586e-13,0.9999999980239739,true,true,true,true,false,false,true,true,ASSUMED_METERS_FROM_SCALE
