execution_index,run_id,scene_id,scene_class,snapshot_id,backend,direction_class,direction_source,direction_vector_x,direction_vector_y,direction_vector_z,perturbation_sign,perturbation_magnitude_m,perturbation_vector_x_m,perturbation_vector_y_m,perturbation_vector_z_m,Delta_T,T_star,T_initial
23,CP-R_TEST_01_Q01-S-50MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q01,open3d,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,-1,0.05,-0.005631068737123535,-0.0496580387152559,0.0015395635199419878,"[[1.0,0.0,0.0,-0.005631068737123535],[0.0,1.0,0.0,-0.0496580387152559],[0.0,0.0,1.0,0.0015395635199419878],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.005631068737123535],[0.0,1.0,0.0,-0.0496580387152559],[0.0,0.0,1.0,0.0015395635199419878],[0.0,0.0,0.0,1.0]]"
24,CP-R_TEST_01_Q01-S-50MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q01,pcl,strong,lambda_max,0.11262137474247069,0.993160774305118,-0.030791270398839755,-1,0.05,-0.005631068737123535,-0.0496580387152559,0.0015395635199419878,"[[1.0,0.0,0.0,-0.005631068737123535],[0.0,1.0,0.0,-0.0496580387152559],[0.0,0.0,1.0,0.0015395635199419878],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.005631068737123535],[0.0,1.0,0.0,-0.0496580387152559],[0.0,0.0,1.0,0.0015395635199419878],[0.0,0.0,0.0,1.0]]"
25,CP-R_TEST_01_Q02-W-10MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1,0.01,0.009765884366231044,-0.0010302183452468288,-0.0018884259865085973,"[[1.0,0.0,0.0,0.009765884366231044],[0.0,1.0,0.0,-0.0010302183452468288],[0.0,0.0,1.0,-0.0018884259865085973],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.009765884366231044],[0.0,1.0,0.0,-0.0010302183452468288],[0.0,0.0,1.0,-0.0018884259865085973],[0.0,0.0,0.0,1.0]]"
26,CP-R_TEST_01_Q02-W-10MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1,0.01,0.009765884366231044,-0.0010302183452468288,-0.0018884259865085973,"[[1.0,0.0,0.0,0.009765884366231044],[0.0,1.0,0.0,-0.0010302183452468288],[0.0,0.0,1.0,-0.0018884259865085973],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.009765884366231044],[0.0,1.0,0.0,-0.0010302183452468288],[0.0,0.0,1.0,-0.0018884259865085973],[0.0,0.0,0.0,1.0]]"
27,CP-R_TEST_01_Q02-W-10MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,-1,0.01,-0.009765884366231044,0.0010302183452468288,0.0018884259865085973,"[[1.0,0.0,0.0,-0.009765884366231044],[0.0,1.0,0.0,0.0010302183452468288],[0.0,0.0,1.0,0.0018884259865085973],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.009765884366231044],[0.0,1.0,0.0,0.0010302183452468288],[0.0,0.0,1.0,0.0018884259865085973],[0.0,0.0,0.0,1.0]]"
28,CP-R_TEST_01_Q02-W-10MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,-1,0.01,-0.009765884366231044,0.0010302183452468288,0.0018884259865085973,"[[1.0,0.0,0.0,-0.009765884366231044],[0.0,1.0,0.0,0.0010302183452468288],[0.0,0.0,1.0,0.0018884259865085973],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.009765884366231044],[0.0,1.0,0.0,0.0010302183452468288],[0.0,0.0,1.0,0.0018884259865085973],[0.0,0.0,0.0,1.0]]"
29,CP-R_TEST_01_Q02-W-30MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1,0.03,0.029297653098693133,-0.003090655035740486,-0.005665277959525792,"[[1.0,0.0,0.0,0.029297653098693133],[0.0,1.0,0.0,-0.003090655035740486],[0.0,0.0,1.0,-0.005665277959525792],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.029297653098693133],[0.0,1.0,0.0,-0.003090655035740486],[0.0,0.0,1.0,-0.005665277959525792],[0.0,0.0,0.0,1.0]]"
30,CP-R_TEST_01_Q02-W-30MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1,0.03,0.029297653098693133,-0.003090655035740486,-0.005665277959525792,"[[1.0,0.0,0.0,0.029297653098693133],[0.0,1.0,0.0,-0.003090655035740486],[0.0,0.0,1.0,-0.005665277959525792],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.029297653098693133],[0.0,1.0,0.0,-0.003090655035740486],[0.0,0.0,1.0,-0.005665277959525792],[0.0,0.0,0.0,1.0]]"
31,CP-R_TEST_01_Q02-W-30MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,-1,0.03,-0.029297653098693133,0.003090655035740486,0.005665277959525792,"[[1.0,0.0,0.0,-0.029297653098693133],[0.0,1.0,0.0,0.003090655035740486],[0.0,0.0,1.0,0.005665277959525792],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.029297653098693133],[0.0,1.0,0.0,0.003090655035740486],[0.0,0.0,1.0,0.005665277959525792],[0.0,0.0,0.0,1.0]]"
32,CP-R_TEST_01_Q02-W-30MM-NEG-PCL,R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,-1,0.03,-0.029297653098693133,0.003090655035740486,0.005665277959525792,"[[1.0,0.0,0.0,-0.029297653098693133],[0.0,1.0,0.0,0.003090655035740486],[0.0,0.0,1.0,0.005665277959525792],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.029297653098693133],[0.0,1.0,0.0,0.003090655035740486],[0.0,0.0,1.0,0.005665277959525792],[0.0,0.0,0.0,1.0]]"
33,CP-R_TEST_01_Q02-W-50MM-POS-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1,0.05,0.048829421831155226,-0.005151091726234144,-0.009442129932542988,"[[1.0,0.0,0.0,0.048829421831155226],[0.0,1.0,0.0,-0.005151091726234144],[0.0,0.0,1.0,-0.009442129932542988],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.048829421831155226],[0.0,1.0,0.0,-0.005151091726234144],[0.0,0.0,1.0,-0.009442129932542988],[0.0,0.0,0.0,1.0]]"
34,CP-R_TEST_01_Q02-W-50MM-POS-PCL,R_TEST_01,Rich,R_TEST_01_Q02,pcl,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,1,0.05,0.048829421831155226,-0.005151091726234144,-0.009442129932542988,"[[1.0,0.0,0.0,0.048829421831155226],[0.0,1.0,0.0,-0.005151091726234144],[0.0,0.0,1.0,-0.009442129932542988],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.048829421831155226],[0.0,1.0,0.0,-0.005151091726234144],[0.0,0.0,1.0,-0.009442129932542988],[0.0,0.0,0.0,1.0]]"
35,CP-R_TEST_01_Q02-W-50MM-NEG-O3D,R_TEST_01,Rich,R_TEST_01_Q02,open3d,weak,lambda_min,0.9765884366231045,-0.10302183452468287,-0.18884259865085973,-1,0.05,-0.048829421831155226,0.005151091726234144,0.009442129932542988,"[[1.0,0.0,0.0,-0.048829421831155226],[0.0,1.0,0.0,0.005151091726234144],[0.0,0.0,1.0,0.009442129932542988],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]","[[1.0,0.0,0.0,-0.048829421831155226],[0.0,1.0,0.0,0.005151091726234144],[0.0,0.0,1.0,0.009442129932542988],[0.0,0.0,0.0,1.0]]"
