backend,centered_correspondence_turnover,scene_id,scene_row_index,scene_label,geometry_group,centered_translation_zpru_mm,frozen_centered_rho,frozen_permutation_sensitivity_p,source_path,source_sha256
OPEN3D_POINT_TO_PLANE,-0.00203053594147,FMB1_R01,29,R01,Rich,-0.1271628164182,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,-0.0242737440372429,FMB1_R01,30,R01,Rich,-0.3422430927692,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,0.0049311172381715,FMB1_R02,1,R02,Rich,0.1398486641174,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,-0.0021248409081688,FMB1_R02,2,R02,Rich,0.0761840036689084,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,0.0002080857244652,FMB1_R02,3,R02,Rich,0.0657619446110675,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,-0.0169228500440489,FMB1_R02,4,R02,Rich,-0.3102472997654,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,0.0038289005413427,FMB1_R02,5,R02,Rich,0.059385233818015,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,0.0019472150545774,FMB1_R02,6,R02,Rich,0.0756611373712528,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,-0.0055113409452903,FMB1_R02,7,R02,Rich,-0.0551626179249293,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
OPEN3D_POINT_TO_PLANE,0.0075229307704278,FMB1_R02,8,R02,Rich,-0.00608641420805033,0.737691492535778,9.99900009999e-05,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_rows.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/reassociation_centered_permutation_summary.json;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,15c7ce6822e45e2d26393ac4dc1a561f742e132b1e2dba62a0f7d2106ef4d725;dcbf7b978aeaccc76f0ce4d1d4015994a4fb61058a122d3a63f4c71161d4b1e5;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
