assigned_rich_scene_ids,assigned_weak_scene_ids,backend,endpoint,greater_than_or_equal_observed,observed_allocation,statistic,allocation_index,observed_statistic_deg,exact_one_sided_p,source_path,source_sha256
"[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.85476356726026e-05,10,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_W02"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W01""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.85476356726026e-05,11,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.0023154113702949,12,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_W01"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_R03"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.85476356726026e-05,13,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W03""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.003837307188101,14,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W02""]","[""FMB1_R02"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-0.0015704434534787,15,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R03"", ""FMB1_W01""]","[""FMB1_R02"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,False,False,-0.003837307188101,16,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W03""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W02""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,-4.85476356726026e-05,17,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W02""]","[""FMB1_R03"", ""FMB1_W01"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,0.0023154113702949,18,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_W01""]","[""FMB1_R03"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,False,4.85476356726026e-05,19,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
"[""FMB1_R01"", ""FMB1_R02"", ""FMB1_R03""]","[""FMB1_W01"", ""FMB1_W02"", ""FMB1_W03""]",PCL_POINT_TO_PLANE,rotation_angle_deg,True,True,-0.0015704434534787,20,-0.00157044345347871,0.8,results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/rotation_exact_permutations.csv;results/mid360_formal_batch1/zero_perturbation_locked_analysis_results_v1/analysis_summary.json,6b9ff40953fe60a64361465fb45e02a4247b118744cb61bd1f372acd0a4b98be;b23c303e013ef5194d109b997a35876153140f8ad911dfa5188b6b0d53c1f869
