scene_id,semantic_scene,scene_type,snapshot_id,selection_index,quantile,query_candidate_count,target_sequence_rank,selected_sequence_rank,query_frame_index,query_timestamp,query_point_count,query_finite_point_count,query_bag_path,query_bag_sha256,MID360_TWO_SCENE_PILOT,INDEPENDENT_MAP_QUERY_ACQUISITION,INDEPENDENT_ACQUISITION,SAME_BAG_MAP_QUERY,FORMAL_MEASUREMENT_RESULT,PILOT_NONFORMAL_DO_NOT_CITE,PILOT_ONLY,FORMAL_REAL_DATA,MEASUREMENT_EVIDENCE
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q01,0,0.05,147,7.300000000000001,7,7,1787057454.3874817,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q02,1,0.15,147,21.9,22,22,1787057455.8877437,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q03,2,0.25,147,36.5,36,36,1787057457.2866461,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q04,3,0.35,147,51.099999999999994,51,51,1787057458.7866569,19872,19872,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q05,4,0.45,147,65.7,66,66,1787057460.2870233,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q06,5,0.55,147,80.30000000000001,80,80,1787057461.6871781,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q07,6,0.65,147,94.9,95,95,1787057463.1866984,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q08,7,0.75,147,109.5,109,109,1787057464.5864189,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q09,8,0.85,147,124.1,124,124,1787057466.0921798,20064,20064,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
W_TEST_01,LONG_CORRIDOR,WEAK_CANDIDATE,W_TEST_01_Q10,9,0.95,147,138.7,139,139,1787057467.5870302,19968,19968,/home/lj/ZPRM/bag/mid360_20260818_205021_part2_15s.bag,2c9893beb56146996eccbe846dc0ee5a4a3ca9aba5b3bb71f7067c598b27c581,true,true,true,false,false,true,true,false,false
