relative_path,local_path,url,source_class,size_bytes,sha256,contains_lidar_payload,status
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_1.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_1.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_1.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,217834,98146f0f728fb5a36d0fec7f28d3542c3bc7d423b4eb653b3191376c2d442a39,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_2.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_2.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_2.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,217705,822c8f15629e97252a3b0461c0bdc03e7048fd1b61d8a85fc6d4e1f1249bea0a,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/filtered_prediction/f-2-1-1-1-6-1-SGP-1000_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,217940,c822fa9bff7b55d43dbf1604f31e0244ee6b4e189b39a3867e3627b93e5546ff,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/list_tf/TF_list_distance_resection.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/list_tf/TF_list_distance_resection.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/list_tf/TF_list_distance_resection.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,1395,7e82ee811623e24c10267883859a623a07fe274306252bbce6d61e7bd84b33b2,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/raw_prediction/nf-1-0-1-L_1.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/raw_prediction/nf-1-0-1-L_1.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/raw_prediction/nf-1-0-1-L_1.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,131262,3d6e890eac04d04e36158b953a8b35d018ad33c2a4ddc51416ad265a538d8fc6,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/raw_prediction/nf-1-0-1-L_2.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/raw_prediction/nf-1-0-1-L_2.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/raw_prediction/nf-1-0-1-L_2.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,130408,361210aa5a3ecf18e6ff1389b11fb912444d323fd9a29798775481488c1db3cc,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/raw_prediction/nf-1-0-1-L_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/raw_prediction/nf-1-0-1-L_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/raw_prediction/nf-1-0-1-L_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,129053,2e7a830dc75cc8d5572a32210390d35d61951afc743729e01fd428cddbe0a55e,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/raw_prediction/nf-1-2-0-L_1.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/raw_prediction/nf-1-2-0-L_1.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/raw_prediction/nf-1-2-0-L_1.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,131262,3d6e890eac04d04e36158b953a8b35d018ad33c2a4ddc51416ad265a538d8fc6,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/raw_prediction/nf-1-2-0-L_2.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/raw_prediction/nf-1-2-0-L_2.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/raw_prediction/nf-1-2-0-L_2.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,130408,361210aa5a3ecf18e6ff1389b11fb912444d323fd9a29798775481488c1db3cc,False,COMPLETE_SHA256_RECORDED
official_repository/data/20220715-1/raw_prediction/nf-1-2-0-L_3.csv,/home/lj/zero_perturbation_data/rts_gt_v1/official_repository/data/20220715-1/raw_prediction/nf-1-2-0-L_3.csv,https://github.com/norlab-ulaval/RTS_project/blob/449a299bcf8bc11766718db4ed4aea4a489c7c46/data/20220715-1/raw_prediction/nf-1-2-0-L_3.csv,OFFICIAL_GIT_METADATA_GT_CALIBRATION_OR_CODE,129053,2e7a830dc75cc8d5572a32210390d35d61951afc743729e01fd428cddbe0a55e,False,COMPLETE_SHA256_RECORDED
